  File "get_data.py", line 25
    da={}
        ^
TabError: inconsistent use of tabs and spaces in indentation
第1组成功	当前进度1/1806	 成功: 0 	 失败: 0
第2组成功	当前进度2/1806	 成功: 1 	 失败: 0
第3组成功	当前进度3/1806	 成功: 2 	 失败: 0
第4组成功	当前进度4/1806	 成功: 3 	 失败: 0
第5组成功	当前进度5/1806	 成功: 4 	 失败: 0
第6组成功	当前进度6/1806	 成功: 5 	 失败: 0
第7组成功	当前进度7/1806	 成功: 6 	 失败: 0
第8组成功	当前进度8/1806	 成功: 7 	 失败: 0
第9组成功	当前进度9/1806	 成功: 8 	 失败: 0
第10组成功	当前进度10/1806	 成功: 9 	 失败: 0
第11组成功	当前进度11/1806	 成功: 10 	 失败: 0
第12组成功	当前进度12/1806	 成功: 11 	 失败: 0
第13组成功	当前进度13/1806	 成功: 12 	 失败: 0
第14组成功	当前进度14/1806	 成功: 13 	 失败: 0
第15组成功	当前进度15/1806	 成功: 14 	 失败: 0
第16组成功	当前进度16/1806	 成功: 15 	 失败: 0
第17组成功	当前进度17/1806	 成功: 16 	 失败: 0
第18组成功	当前进度18/1806	 成功: 17 	 失败: 0
第19组成功	当前进度19/1806	 成功: 18 	 失败: 0
第20组成功	当前进度20/1806	 成功: 19 	 失败: 0
第21组成功	当前进度21/1806	 成功: 20 	 失败: 0
第22组成功	当前进度22/1806	 成功: 21 	 失败: 0
第23组成功	当前进度23/1806	 成功: 22 	 失败: 0
第24组成功	当前进度24/1806	 成功: 23 	 失败: 0
第25组成功	当前进度25/1806	 成功: 24 	 失败: 0
第26组成功	当前进度26/1806	 成功: 25 	 失败: 0
第27组成功	当前进度27/1806	 成功: 26 	 失败: 0
第28组失败	当前进度28/1806	 成功: 27 	 失败: 0
第29组失败	当前进度29/1806	 成功: 27 	 失败: 1
第30组失败	当前进度30/1806	 成功: 27 	 失败: 2
第31组失败	当前进度31/1806	 成功: 27 	 失败: 3
第32组成功	当前进度32/1806	 成功: 27 	 失败: 4
第33组成功	当前进度33/1806	 成功: 28 	 失败: 4
第34组成功	当前进度34/1806	 成功: 29 	 失败: 4
第35组成功	当前进度35/1806	 成功: 30 	 失败: 4
第36组失败	当前进度36/1806	 成功: 31 	 失败: 4
第37组成功	当前进度37/1806	 成功: 31 	 失败: 5
第38组失败	当前进度38/1806	 成功: 32 	 失败: 5
第39组失败	当前进度39/1806	 成功: 32 	 失败: 6
第40组失败	当前进度40/1806	 成功: 32 	 失败: 7
